text,canonical_form_1,category_1,severity_rating,severity_description
fcking,fuck,sexual anatomy / sexual acts,2.2,Strong
black-capped,black-capped,no insult,0.0,None
untruthfulness,untruthfulness,no insult,0.0,None
acidize,acidize,no insult,0.0,None
fudgepackershitter,fudge packer,sexual anatomy / sexual acts,3.0,Severe
gasogen,gasogen,no insult,0.0,None
nest-egg,nest-egg,no insult,0.0,None
shitfucks,fuck,sexual anatomy / sexual acts,2.4,Strong
moudieman,moudieman,no insult,0.0,None
sarmentous,sarmentous,no insult,0.0,None
biotch,bitch,sexual orientation / gender,1.0,Mild
ass-hole,ass,sexual anatomy / sexual acts,2.0,Strong
radiodiagnosis,radiodiagnosis,no insult,0.0,None
nickk3r,nigger,racial / ethnic slurs,3.0,Severe
compreg,compreg,no insult,0.0,None
disencumbering,disencumbering,no insult,0.0,None
scuffed,scuffed,no insult,0.0,None
sceptical,sceptical,no insult,0.0,None
degames,degames,no insult,0.0,None
unsubventionized,unsubventionized,no insult,0.0,None
mfukk,motherfucker,sexual anatomy / sexual acts,3.0,Severe
carideer,carideer,no insult,0.0,None
wantrust,wantrust,no insult,0.0,None
anti-Jesuitical,anti-Jesuitical,no insult,0.0,None
cracket,cracket,no insult,0.0,None
initis,initis,no insult,0.0,None
wankbastard,wank,sexual anatomy / sexual acts,1.8,Strong
Laraine,Laraine,no insult,0.0,None
scalers,scalers,no insult,0.0,None
Grata,Grata,no insult,0.0,None
nondiscriminatively,nondiscriminatively,no insult,0.0,None
pikelike,pikelike,no insult,0.0,None
Monario,Monario,no insult,0.0,None
carbamate,carbamate,no insult,0.0,None
gleeman,gleeman,no insult,0.0,None
dumbass son-of-a-bitch,bitch,sexual anatomy / sexual acts,1.8,Strong
braciole,braciole,no insult,0.0,None
ultraist,ultraist,no insult,0.0,None
dikhead,dick,sexual anatomy / sexual acts,1.6,Strong
fanzine,fanzine,no insult,0.0,None
otocerebritis,otocerebritis,no insult,0.0,None
berry-formed,berry-formed,no insult,0.0,None
Mesolgion,Mesolgion,no insult,0.0,None
circumdiction,circumdiction,no insult,0.0,None
rime-damp,rime-damp,no insult,0.0,None
refunding,refunding,no insult,0.0,None
Non-mormon,Non-mormon,no insult,0.0,None
whiffling,whiffling,no insult,0.0,None
subglobose,subglobose,no insult,0.0,None
repromulgated,repromulgated,no insult,0.0,None
inscriptive,inscriptive,no insult,0.0,None
oppone,oppone,no insult,0.0,None
brisance,brisance,no insult,0.0,None
tear-embarrassed,tear-embarrassed,no insult,0.0,None
kiddy touch,kidtoucher,sexual anatomy / sexual acts,1.8,Strong
butthole boy,butt,sexual anatomy / sexual acts,2.6,Severe
karyon,karyon,no insult,0.0,None
vulva,vulva,sexual anatomy / sexual acts,1.0,Mild
ass fucking boiolas,fuck,sexual anatomy / sexual acts,2.6,Severe
mother fucka,motherfucker,sexual anatomy / sexual acts,2.8,Severe
Cubanize,Cubanize,no insult,0.0,None
beanies,beanies,no insult,0.0,None
mokaddam,mokaddam,no insult,0.0,None
soberness,soberness,no insult,0.0,None
skunks,skunks,no insult,0.0,None
exeresis,exeresis,no insult,0.0,None
centeses,centeses,no insult,0.0,None
disruptor,disruptor,no insult,0.0,None
butt-munchers,butt,sexual anatomy / sexual acts,2.0,Strong
barksome,barksome,no insult,0.0,None
ac-,ac-,no insult,0.0,None
carburetted,carburetted,no insult,0.0,None
Basoche,Basoche,no insult,0.0,None
superjudicial,superjudicial,no insult,0.0,None
Iran.,Iran.,no insult,0.0,None
timber nigger,nigger,racial / ethnic slurs,3.0,Severe
assfukah,fuck,sexual anatomy / sexual acts,2.4,Strong
guiltily,guiltily,no insult,0.0,None
full-dress,full-dress,no insult,0.0,None
fucking shit,fuck,sexual anatomy / sexual acts,1.8,Strong
knobjocky,knob,sexual anatomy / sexual acts,2.2,Strong
wank3r,wank,sexual anatomy / sexual acts,1.0,Mild
motherfucked,motherfucker,sexual anatomy / sexual acts,3.0,Severe
vapourishness,vapourishness,no insult,0.0,None
exponentiation,exponentiation,no insult,0.0,None
lecanoraceous,lecanoraceous,no insult,0.0,None
dumbass,ass,mental disability,1.4,Mild
profitably,profitably,no insult,0.0,None
scroff,scroff,no insult,0.0,None
psychoclinic,psychoclinic,no insult,0.0,None
Harstad,Harstad,no insult,0.0,None
consistorial,consistorial,no insult,0.0,None
underbearer,underbearer,no insult,0.0,None
Camel jockey,camel jockey,racial / ethnic slurs,2.8,Severe
premiums,premiums,no insult,0.0,None
Tortelier,Tortelier,no insult,0.0,None
Katharine,Katharine,no insult,0.0,None
unmysteriously,unmysteriously,no insult,0.0,None
niggaz,nigger,racial / ethnic slurs,2.2,Strong
sigillarid,sigillarid,no insult,0.0,None
consarned,consarned,no insult,0.0,None
apeshit,ape,bodily fluids / excrement,1.4,Mild
unperishing,unperishing,no insult,0.0,None
cumdumpster,cum,bodily fluids / excrement,2.8,Severe
alarm,alarm,no insult,0.0,None
ewe-daisy,ewe-daisy,no insult,0.0,None
husbandfield,husbandfield,no insult,0.0,None
deicate,deicate,no insult,0.0,None
woopsed,woopsed,no insult,0.0,None
storeship,storeship,no insult,0.0,None
scumfucker,fuck,sexual anatomy / sexual acts,2.8,Severe
Karlis,Karlis,no insult,0.0,None
caca,shit,bodily fluids / excrement,1.0,Mild
agaricic,agaricic,no insult,0.0,None
jiggerboos,jiggaboo,racial / ethnic slurs,3.0,Severe
higg3r,nigger,racial / ethnic slurs,2.8,Severe
Asael,Asael,no insult,0.0,None
sesquialtera,sesquialtera,no insult,0.0,None
Filipinos,Filipinos,no insult,0.0,None
unabridgable,unabridgable,no insult,0.0,None
balloonfish,balloonfish,no insult,0.0,None
cuksuker,cock,sexual anatomy / sexual acts,2.4,Strong
codevelopers,codevelopers,no insult,0.0,None
imbalmment,imbalmment,no insult,0.0,None
amninions,amninions,no insult,0.0,None
fatasses,ass,sexual anatomy / sexual acts,1.2,Mild
speciated,speciated,no insult,0.0,None
cleats,cleats,no insult,0.0,None
mule-foot,mule-foot,no insult,0.0,None
raylessly,raylessly,no insult,0.0,None
Roydd,Roydd,no insult,0.0,None
outsavoring,outsavoring,no insult,0.0,None
teacher,teacher,no insult,0.0,None
unreplevisable,unreplevisable,no insult,0.0,None
autobasidium,autobasidium,no insult,0.0,None
dipshidiot,shit,bodily fluids / excrement,1.6,Strong
erotetic,erotetic,no insult,0.0,None
spoilful,spoilful,no insult,0.0,None
triweeklies,triweeklies,no insult,0.0,None
shitface,shit,bodily fluids / excrement,2.0,Strong
Hunlike,Hunlike,no insult,0.0,None
gonif,gonif,no insult,0.0,None
fenagles,fenagles,no insult,0.0,None
fictioneering,fictioneering,no insult,0.0,None
caninus,caninus,no insult,0.0,None
hacksaws,hacksaws,no insult,0.0,None
prologuising,prologuising,no insult,0.0,None
discerner,discerner,no insult,0.0,None
headgear,headgear,no insult,0.0,None
niggas,nigger,racial / ethnic slurs,2.8,Severe
jizzfucker,fuck,bodily fluids / excrement,2.6,Severe
shitasses,shit,sexual anatomy / sexual acts,2.0,Strong
turn,turn,no insult,0.0,None
liches,liches,no insult,0.0,None
manganize,manganize,no insult,0.0,None
fcker,fuck,sexual anatomy / sexual acts,2.2,Strong
sigill,sigill,no insult,0.0,None
unreasonableness,unreasonableness,no insult,0.0,None
m@derfuck,motherfucker,sexual anatomy / sexual acts,3.0,Severe
stupendous,stupendous,no insult,0.0,None
knobends,knob,sexual anatomy / sexual acts,1.4,Mild
b00bz,boobs,sexual anatomy / sexual acts,1.0,Mild
sputumous,sputumous,no insult,0.0,None
pagurids,pagurids,no insult,0.0,None
clusterfucking,fuck,sexual anatomy / sexual acts,2.0,Strong
prosopectasia,prosopectasia,no insult,0.0,None
devicefulness,devicefulness,no insult,0.0,None
tard,retard,mental disability,2.8,Severe
cagone,cojones,bodily fluids / excrement,1.2,Mild
conscience-proof,conscience-proof,no insult,0.0,None
gyp,gypsy,racial / ethnic slurs,2.0,Strong
Ampelis,Ampelis,no insult,0.0,None
electro-biology,electro-biology,no insult,0.0,None
chondroglossus,chondroglossus,no insult,0.0,None
chouquette,chouquette,no insult,0.0,None
half-sovereign,half-sovereign,no insult,0.0,None
anal,anal,sexual anatomy / sexual acts,1.0,Mild
dreamscape,dreamscape,no insult,0.0,None
Yezidi,Yezidi,no insult,0.0,None
shitheadfucker,fuck,sexual anatomy / sexual acts,2.8,Severe
knobe,knob,sexual anatomy / sexual acts,1.0,Mild
dickies,dickies,no insult,0.0,None
phaggots,faggot,sexual orientation / gender,3.0,Severe
metropolitanship,metropolitanship,no insult,0.0,None
tensiometric,tensiometric,no insult,0.0,None
impractically,impractically,no insult,0.0,None
unflorid,unflorid,no insult,0.0,None
fructicultural,fructicultural,no insult,0.0,None
outworkers,outworkers,no insult,0.0,None
focker,fuck,sexual anatomy / sexual acts,2.0,Strong
corticosterone,corticosterone,no insult,0.0,None
d1cksucker,dick,sexual anatomy / sexual acts,1.8,Strong
liverberries,liverberries,no insult,0.0,None
unadopt,unadopt,no insult,0.0,None
masques,masques,no insult,0.0,None
arcs-boutants,arcs-boutants,no insult,0.0,None
subbasses,subbasses,no insult,0.0,None
cunt lips,cunt,sexual anatomy / sexual acts,2.8,Severe
heartless,heartless,no insult,0.0,None
modestness,modestness,no insult,0.0,None
Dichy,Dichy,no insult,0.0,None
overesteem,overesteem,no insult,0.0,None
credensiveness,credensiveness,no insult,0.0,None
shited,shit,bodily fluids / excrement,1.2,Mild
churchwardenism,churchwardenism,no insult,0.0,None
wetback,wetback,racial / ethnic slurs,3.0,Severe
Eglanteen,Eglanteen,no insult,0.0,None
faggot son-of-a-bitch,faggot,sexual orientation / gender,3.0,Severe
Narcissine,Narcissine,no insult,0.0,None
Nicene,Nicene,no insult,0.0,None
chalets,chalets,no insult,0.0,None
Hellenian,Hellenian,no insult,0.0,None
arse-shagger,arse,sexual anatomy / sexual acts,2.4,Strong
dressages,dressages,no insult,0.0,None
recushion,recushion,no insult,0.0,None
divulgator,divulgator,no insult,0.0,None
mutherfucker,motherfucker,sexual anatomy / sexual acts,2.6,Severe
decolorise,decolorise,no insult,0.0,None
overravish,overravish,no insult,0.0,None
Cossayuna,Cossayuna,no insult,0.0,None
dolciano,dolciano,no insult,0.0,None
fuckem,fuck,sexual anatomy / sexual acts,2.2,Strong
laboriousness,laboriousness,no insult,0.0,None
Toryess,Toryess,no insult,0.0,None
fags,faggot,sexual orientation / gender,3.0,Severe
rougher,rougher,no insult,0.0,None
pacha,pacha,no insult,0.0,None
Kalandariyah,Kalandariyah,no insult,0.0,None
hypochil,hypochil,no insult,0.0,None
firetraps,firetraps,no insult,0.0,None
mfs,motherfucker,sexual anatomy / sexual acts,2.2,Strong
packingfudgefucker,fudge packer,sexual anatomy / sexual acts,2.8,Severe
Ballington,Ballington,no insult,0.0,None
pantiled,pantiled,no insult,0.0,None
fook,fuck,sexual anatomy / sexual acts,1.6,Strong
conceptions,conceptions,no insult,0.0,None
dickheads,dick,sexual anatomy / sexual acts,1.6,Strong
castellum,castellum,no insult,0.0,None
anabibazon,anabibazon,no insult,0.0,None
darky,darky,racial / ethnic slurs,2.8,Severe
bedraggling,bedraggling,no insult,0.0,None
mofuckkas,motherfucker,sexual anatomy / sexual acts,2.4,Strong
enterocolostomy,enterocolostomy,no insult,0.0,None
parennir,parennir,no insult,0.0,None
five-horned,five-horned,no insult,0.0,None
w@nkers,wank,sexual anatomy / sexual acts,1.0,Mild
milk-blended,milk-blended,no insult,0.0,None
main-de-fer,main-de-fer,no insult,0.0,None
roundheadedness,roundheadedness,no insult,0.0,None
jambstone,jambstone,no insult,0.0,None
reboil,reboil,no insult,0.0,None
wide-watered,wide-watered,no insult,0.0,None
pundits,pundits,no insult,0.0,None
horry,horry,no insult,0.0,None
binomials,binomials,no insult,0.0,None
perperfect,perperfect,no insult,0.0,None
motherfuckingshit,motherfucker,sexual anatomy / sexual acts,2.8,Severe
beforehandedness,beforehandedness,no insult,0.0,None
Aponogeton,Aponogeton,no insult,0.0,None
shit head,shit,bodily fluids / excrement,1.8,Strong
chingchong,chingchong,racial / ethnic slurs,2.8,Severe
Stilwell,Stilwell,no insult,0.0,None
sonz of bitchez,bitch,other / general insult,1.8,Strong
phags,faggot,sexual orientation / gender,3.0,Severe
foreordain,foreordain,no insult,0.0,None
shitedick,shit,sexual anatomy / sexual acts,2.0,Strong
Roget,Roget,no insult,0.0,None
Wheatcroft,Wheatcroft,no insult,0.0,None
immitigable,immitigable,no insult,0.0,None
rejounce,rejounce,no insult,0.0,None
cooties,cooties,other / general insult,1.0,Mild
neuroanatomical,neuroanatomical,no insult,0.0,None
dicklicker,dick,sexual anatomy / sexual acts,2.2,Strong
ecbolics,ecbolics,no insult,0.0,None
persuasively,persuasively,no insult,0.0,None
stiff-veined,stiff-veined,no insult,0.0,None
gossep,gossep,no insult,0.0,None
Amandi,Amandi,no insult,0.0,None
assmuncher,ass,sexual anatomy / sexual acts,2.2,Strong
b17ch,bitch,sexual orientation / gender,1.4,Mild
dlcks,dick,sexual anatomy / sexual acts,1.0,Mild
telegraph,telegraph,no insult,0.0,None
prick-head,prick,sexual anatomy / sexual acts,1.8,Strong
cotton picker,cotton picker,racial / ethnic slurs,2.8,Severe
augen,augen,no insult,0.0,None
paratactic,paratactic,no insult,0.0,None
yellow-colored,yellow-colored,no insult,0.0,None
tomium,tomium,no insult,0.0,None
fag,faggot,sexual orientation / gender,2.8,Severe
assfvcker,fuck,sexual anatomy / sexual acts,2.6,Severe
Camponotus,Camponotus,no insult,0.0,None
unalimentative,unalimentative,no insult,0.0,None
unfamiliarized,unfamiliarized,no insult,0.0,None
jizzstain,jizz,bodily fluids / excrement,2.8,Severe
buttfuckers,fuck,sexual anatomy / sexual acts,3.0,Severe
outswindled,outswindled,no insult,0.0,None
overassumed,overassumed,no insult,0.0,None
tolerationism,tolerationism,no insult,0.0,None
corporator,corporator,no insult,0.0,None
knobendy,knob,sexual anatomy / sexual acts,1.6,Strong
wank off,wank,sexual anatomy / sexual acts,1.0,Mild
unmasticatory,unmasticatory,no insult,0.0,None
Neotropical,Neotropical,no insult,0.0,None
slanty,slant eye,racial / ethnic slurs,2.6,Severe
Kashmiri,Kashmiri,no insult,0.0,None
springful,springful,no insult,0.0,None
penishead,penis,sexual anatomy / sexual acts,1.4,Mild
hair-drawn,hair-drawn,no insult,0.0,None
sh1td1ck,shit,bodily fluids / excrement,2.0,Strong
noncommunication,noncommunication,no insult,0.0,None
dagwoods,dagwoods,no insult,0.0,None
doorposts,doorposts,no insult,0.0,None
typica,typica,no insult,0.0,None
coolie,coolie,racial / ethnic slurs,1.8,Strong
Chicomecoatl,Chicomecoatl,no insult,0.0,None
dawnlight,dawnlight,no insult,0.0,None
Constantinopolitan,Constantinopolitan,no insult,0.0,None
mof0es,motherfucker,sexual anatomy / sexual acts,2.2,Strong
vesbite,vesbite,no insult,0.0,None
branniness,branniness,no insult,0.0,None
palm jockey,palm jockey,sexual anatomy / sexual acts,1.2,Mild
chondroglossal,chondroglossal,no insult,0.0,None
shitty mofoes,shit,bodily fluids / excrement,1.6,Strong
chappe,chappe,no insult,0.0,None
pussy licker,pussy,sexual anatomy / sexual acts,2.4,Strong
pholidosis,pholidosis,no insult,0.0,None
pale-spotted,pale-spotted,no insult,0.0,None
avast,avast,no insult,0.0,None
ladyboyz,ladyboy,sexual orientation / gender,1.4,Mild
nigg4hs,nigger,racial / ethnic slurs,2.8,Severe
Kurd,Kurd,no insult,0.0,None
weiner,weiner,sexual anatomy / sexual acts,1.0,Mild
trichobacteria,trichobacteria,no insult,0.0,None
Kolnick,Kolnick,no insult,0.0,None
Sudnor,Sudnor,no insult,0.0,None
jerk-off,jerk off,sexual anatomy / sexual acts,1.2,Mild
chinky,chink,racial / ethnic slurs,3.0,Severe
knobeads,knob,sexual anatomy / sexual acts,1.4,Mild
l3i + ch,bitch,sexual orientation / gender,1.2,Mild
@ssfvcker,fuck,sexual anatomy / sexual acts,2.4,Strong
cheap-john,cheap-john,no insult,0.0,None
Saloniki,Saloniki,no insult,0.0,None
textuality,textuality,no insult,0.0,None
nonmaterialistically,nonmaterialistically,no insult,0.0,None
5h1t,shit,bodily fluids / excrement,1.0,Mild
phvckings,fuck,sexual anatomy / sexual acts,2.2,Strong
guayabo,guayabo,no insult,0.0,None
weeps,weeps,no insult,0.0,None
stupefacient,stupefacient,no insult,0.0,None
dipshat,shit,bodily fluids / excrement,1.2,Mild
red-cheeked,red-cheeked,no insult,0.0,None
proparticipation,proparticipation,no insult,0.0,None
auroral,auroral,no insult,0.0,None
miterer,miterer,no insult,0.0,None
Chincoteague,Chincoteague,no insult,0.0,None
ass bandit,ass,sexual anatomy / sexual acts,1.6,Strong
doggo style,doggy style,sexual anatomy / sexual acts,1.2,Mild
cock licker,cock,sexual anatomy / sexual acts,2.0,Strong
duologue,duologue,no insult,0.0,None
shikargah,shikargah,no insult,0.0,None
fukcs,fuck,sexual anatomy / sexual acts,2.0,Strong
leiodermia,leiodermia,no insult,0.0,None
artisanship,artisanship,no insult,0.0,None
motherfuccas,motherfucker,sexual anatomy / sexual acts,3.0,Severe
unfiring,unfiring,no insult,0.0,None
axled,axled,no insult,0.0,None
finger fuck,fuck,sexual anatomy / sexual acts,2.6,Severe
effuviate,effuviate,no insult,0.0,None
plebs,plebs,no insult,0.0,None
ACK,ACK,no insult,0.0,None
phaggot,faggot,sexual orientation / gender,2.8,Severe
fastly,fastly,no insult,0.0,None
shitfacefucker,fuck,sexual anatomy / sexual acts,2.6,Severe
facks,facks,no insult,0.0,None
dothead,dothead,racial / ethnic slurs,2.6,Severe
shit-arse,shit,sexual anatomy / sexual acts,1.6,Strong
azz,ass,sexual anatomy / sexual acts,1.0,Mild
tribromphenol,tribromphenol,no insult,0.0,None
piggybacking,piggybacking,no insult,0.0,None
hazardize,hazardize,no insult,0.0,None
Teutono-persic,Teutono-persic,no insult,0.0,None
semirurally,semirurally,no insult,0.0,None
Dashnak,Dashnak,no insult,0.0,None
nonwhites,nonwhites,no insult,0.0,None
messire,messire,no insult,0.0,None
quasi-convinced,quasi-convinced,no insult,0.0,None
gieing,gieing,no insult,0.0,None
horologue,horologue,no insult,0.0,None
tads,tads,no insult,0.0,None
thereafter,thereafter,no insult,0.0,None
blow a load,blow a load,bodily fluids / excrement,1.6,Strong
4r5ed,arse,sexual anatomy / sexual acts,1.4,Mild
motherfcking,motherfucker,sexual anatomy / sexual acts,3.0,Severe
tunaburger,tunaburger,no insult,0.0,None
superinquisitively,superinquisitively,no insult,0.0,None
denominationalism,denominationalism,no insult,0.0,None
pinakoidal,pinakoidal,no insult,0.0,None
cryptorchid,cryptorchid,no insult,0.0,None
p3nisfcker,penis,sexual anatomy / sexual acts,3.0,Severe
asyllabia,asyllabia,no insult,0.0,None
Beaverdale,Beaverdale,no insult,0.0,None
enwinding,enwinding,no insult,0.0,None
fkker,fuck,sexual anatomy / sexual acts,2.2,Strong
muthafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe
trencherless,trencherless,no insult,0.0,None
pastorally,pastorally,no insult,0.0,None
nidorulent,nidorulent,no insult,0.0,None
foredivine,foredivine,no insult,0.0,None
Ryon,Ryon,no insult,0.0,None
fcka,fuck,sexual anatomy / sexual acts,1.8,Strong
hyperrhythmical,hyperrhythmical,no insult,0.0,None
unness,unness,no insult,0.0,None
mantram,mantram,no insult,0.0,None
cockh3ad,cock,sexual anatomy / sexual acts,2.4,Strong
day-bed,day-bed,no insult,0.0,None
Dabih,Dabih,no insult,0.0,None
fxcker,fuck,sexual anatomy / sexual acts,2.2,Strong
kickstand,kickstand,no insult,0.0,None
kaiaks,kaiaks,no insult,0.0,None
manacled,manacled,no insult,0.0,None
mercantilely,mercantilely,no insult,0.0,None
pudding-shaped,pudding-shaped,no insult,0.0,None
Falieri,Falieri,no insult,0.0,None
roebuck,roebuck,no insult,0.0,None
scrounged,scrounged,no insult,0.0,None
whaleback,whaleback,no insult,0.0,None
gazes,gazes,no insult,0.0,None
dineros,dineros,no insult,0.0,None
mofoes,motherfucker,other / general insult,2.0,Strong
tadger,tadger,sexual anatomy / sexual acts,1.4,Mild
uraniscochasma,uraniscochasma,no insult,0.0,None
powder-flask,powder-flask,no insult,0.0,None
unseeded,unseeded,no insult,0.0,None
noncombustive,noncombustive,no insult,0.0,None
Bellerophontidae,Bellerophontidae,no insult,0.0,None
m0therfucking,motherfucker,sexual anatomy / sexual acts,3.0,Severe
stewardly,stewardly,no insult,0.0,None
moyenless,moyenless,no insult,0.0,None
Bizerta,Bizerta,no insult,0.0,None
nonevading,nonevading,no insult,0.0,None
sitiophobia,sitiophobia,no insult,0.0,None
fcuks,fuck,sexual anatomy / sexual acts,2.2,Strong
Natchez,Natchez,no insult,0.0,None
Cagoulard,Cagoulard,no insult,0.0,None
seragli,seragli,no insult,0.0,None
intramorainic,intramorainic,no insult,0.0,None
doosh,douche,bodily fluids / excrement,1.4,Mild
cacotrophia,cacotrophia,no insult,0.0,None
backslapped,backslapped,no insult,0.0,None
muktar,muktar,no insult,0.0,None
mofoshit,motherfucker,sexual anatomy / sexual acts,2.2,Strong
chesticles,testicles,sexual anatomy / sexual acts,1.0,Mild
jigaboo,jiggaboo,racial / ethnic slurs,2.4,Strong
oystered,oystered,no insult,0.0,None
spongiopiline,spongiopiline,no insult,0.0,None
shitsful,shit,bodily fluids / excrement,1.0,Mild
unanarchistic,unanarchistic,no insult,0.0,None
undercitizenry,undercitizenry,no insult,0.0,None
ice-island,ice-island,no insult,0.0,None
erectoplasm,erectoplasm,bodily fluids / excrement,1.8,Strong
overindustrialization,overindustrialization,no insult,0.0,None
orthopaedics,orthopaedics,no insult,0.0,None
shitter,shit,bodily fluids / excrement,1.0,Mild
interprets,interprets,no insult,0.0,None
fire-souled,fire-souled,no insult,0.0,None
nuggets,nigger,racial / ethnic slurs,1.2,Mild
mammography,mammography,no insult,0.0,None
Astydamia,Astydamia,no insult,0.0,None
Absyrtus,Absyrtus,no insult,0.0,None
girly bits,girly bits,sexual anatomy / sexual acts,1.0,Mild
malengine,malengine,no insult,0.0,None
motherfuckkers,motherfucker,sexual anatomy / sexual acts,3.0,Severe
antiophthalmic,antiophthalmic,no insult,0.0,None
overlactated,overlactated,no insult,0.0,None
dick face,dick,sexual anatomy / sexual acts,1.8,Strong
bloodlike,bloodlike,no insult,0.0,None
haematosin,haematosin,no insult,0.0,None
quasi-intolerant,quasi-intolerant,no insult,0.0,None
pulmonar,pulmonar,no insult,0.0,None
celebret,celebret,no insult,0.0,None
superobstinately,superobstinately,no insult,0.0,None
cuntness,cunt,sexual anatomy / sexual acts,3.0,Severe
definitely,definitely,no insult,0.0,None
exemplifiers,exemplifiers,no insult,0.0,None
romal,romal,no insult,0.0,None
blennostatic,blennostatic,no insult,0.0,None
cabbed,cabbed,no insult,0.0,None
insatiability,insatiability,no insult,0.0,None
starlings,starlings,no insult,0.0,None
Solon,Solon,no insult,0.0,None
salutatory,salutatory,no insult,0.0,None
scurvied,scurvied,no insult,0.0,None
jizzing,jizz,bodily fluids / excrement,1.6,Strong
carpetmuncher,carpet muncher,sexual anatomy / sexual acts,2.6,Severe
Delorean,Delorean,no insult,0.0,None
addax,addax,no insult,0.0,None
stationer,stationer,no insult,0.0,None
izars,izars,no insult,0.0,None
heterophonic,heterophonic,no insult,0.0,None
infrabasal,infrabasal,no insult,0.0,None
kerchunk,kerchunk,no insult,0.0,None
fuck you,fuck,sexual anatomy / sexual acts,2.4,Strong
teratoid,teratoid,no insult,0.0,None
dogsh1ts,shit,bodily fluids / excrement,1.0,Mild
griffin-beaked,griffin-beaked,no insult,0.0,None
gossip,gossip,no insult,0.0,None
zootheistic,zootheistic,no insult,0.0,None
yondward,yondward,no insult,0.0,None
malays,malays,no insult,0.0,None
hoosiers,hoosiers,no insult,0.0,None
Heine,Heine,no insult,0.0,None
flagons,flagons,no insult,0.0,None
disease-spreading,disease-spreading,no insult,0.0,None
wearifully,wearifully,no insult,0.0,None
affixt,affixt,no insult,0.0,None
encoronet,encoronet,no insult,0.0,None
wrongfully,wrongfully,no insult,0.0,None
gold-graved,gold-graved,no insult,0.0,None
hyphenized,hyphenized,no insult,0.0,None
sacrodorsal,sacrodorsal,no insult,0.0,None
b to the inch,bitch,sexual orientation / gender,1.2,Mild
ote,ote,no insult,0.0,None
stodge,stodge,no insult,0.0,None
paleopathological,paleopathological,no insult,0.0,None
interdiffusive,interdiffusive,no insult,0.0,None
cums,cum,bodily fluids / excrement,1.4,Mild
muthafuckker,motherfucker,sexual anatomy / sexual acts,3.0,Severe
wontons,wontons,no insult,0.0,None
Judaization,Judaization,no insult,0.0,None
wigtail,wigtail,no insult,0.0,None
scallawag,scallawag,no insult,0.0,None
peckerhead,pecker,sexual anatomy / sexual acts,1.6,Strong
oystermen,oystermen,no insult,0.0,None
checksums,checksums,no insult,0.0,None
buprestidan,buprestidan,no insult,0.0,None
flotson,flotson,no insult,0.0,None
bollockchops,bollocks,sexual anatomy / sexual acts,1.2,Mild
majagua,majagua,no insult,0.0,None
fucking,fuck,sexual anatomy / sexual acts,2.2,Strong
fukked,fuck,sexual anatomy / sexual acts,2.0,Strong
fothermuckers,motherfucker,sexual anatomy / sexual acts,1.8,Strong
high-seasoned,high-seasoned,no insult,0.0,None
Manara,Manara,no insult,0.0,None
adducent,adducent,no insult,0.0,None
r3t@rd,retard,mental disability,2.8,Severe
wank,wank,sexual anatomy / sexual acts,1.0,Mild
fluxionary,fluxionary,no insult,0.0,None
